city_id,city_name,climate_group,outer_fold,model_name,source_reference_run_dir,training_sample_rows_per_city,prediction_scope,row_count,valid_cell_count,scale_label,smoothing_radius_m,smoothing_method,smoothing_sigma_m,threshold_fraction,spearman_surface_corr,top_region_overlap_fraction,observed_mass_captured,centroid_distance_m,median_nearest_region_distance_m,observed_top_cell_count,predicted_top_cell_count,overlap_cell_count,grid_cell_size_m,projected_crs,grid_reconstruction_status
8,Fresno,hot_arid,1,random_forest,C:\Users\golde\OneDrive - University of Virginia\STAT5630_FinalProject_DataProcessing\outputs\modeling\random_forest\frontier_allfolds_s5000_frontier-check_2026-04-11_173430,5000,full_city,459104,459104,fine,150.0,gaussian,75.0,0.1,0.4283332333068169,0.16483990460242554,0.2692799641063923,2280.871542403515,150.0,45911,45911,12994,30.0,EPSG:32611,ok
8,Fresno,hot_arid,1,random_forest,C:\Users\golde\OneDrive - University of Virginia\STAT5630_FinalProject_DataProcessing\outputs\modeling\random_forest\frontier_allfolds_s5000_frontier-check_2026-04-11_173430,5000,full_city,459104,459104,medium,300.0,gaussian,150.0,0.1,0.5075252527463702,0.1539776297599598,0.2445011568669762,2427.664656480226,318.90437438203946,45911,45911,12252,30.0,EPSG:32611,ok
8,Fresno,hot_arid,1,random_forest,C:\Users\golde\OneDrive - University of Virginia\STAT5630_FinalProject_DataProcessing\outputs\modeling\random_forest\frontier_allfolds_s5000_frontier-check_2026-04-11_173430,5000,full_city,459104,459104,broad,600.0,gaussian,300.0,0.1,0.5702265374364007,0.1523411518140632,0.2179947793359102,2567.2246698759504,1026.157882589224,45911,45911,12139,30.0,EPSG:32611,ok
22,Portland,mild_cool,1,random_forest,C:\Users\golde\OneDrive - University of Virginia\STAT5630_FinalProject_DataProcessing\outputs\modeling\random_forest\frontier_allfolds_s5000_frontier-check_2026-04-11_173430,5000,full_city,1496116,1496116,fine,150.0,gaussian,75.0,0.1,0.49255775628820103,0.20668462568354493,0.32330242119948954,5033.809228856369,90.0,149612,149612,51252,30.0,EPSG:32610,ok
22,Portland,mild_cool,1,random_forest,C:\Users\golde\OneDrive - University of Virginia\STAT5630_FinalProject_DataProcessing\outputs\modeling\random_forest\frontier_allfolds_s5000_frontier-check_2026-04-11_173430,5000,full_city,1496116,1496116,medium,300.0,gaussian,150.0,0.1,0.5792136063151592,0.2267351046863918,0.3350593122812959,5541.66965255291,120.0,149612,149612,55305,30.0,EPSG:32610,ok
22,Portland,mild_cool,1,random_forest,C:\Users\golde\OneDrive - University of Virginia\STAT5630_FinalProject_DataProcessing\outputs\modeling\random_forest\frontier_allfolds_s5000_frontier-check_2026-04-11_173430,5000,full_city,1496116,1496116,broad,600.0,gaussian,300.0,0.1,0.6438268630353998,0.2314099583115563,0.318180223432204,6566.411862908199,180.0,149612,149612,56231,30.0,EPSG:32610,ok
27,Chicago,mild_cool,1,random_forest,C:\Users\golde\OneDrive - University of Virginia\STAT5630_FinalProject_DataProcessing\outputs\modeling\random_forest\frontier_allfolds_s5000_frontier-check_2026-04-11_173430,5000,full_city,6722963,6722963,fine,150.0,gaussian,75.0,0.1,0.45490351320263894,0.18018688570059316,0.29613255006707645,4993.031634042437,192.09372712298546,672297,672297,205288,30.0,EPSG:32616,ok
27,Chicago,mild_cool,1,random_forest,C:\Users\golde\OneDrive - University of Virginia\STAT5630_FinalProject_DataProcessing\outputs\modeling\random_forest\frontier_allfolds_s5000_frontier-check_2026-04-11_173430,5000,full_city,6722963,6722963,medium,300.0,gaussian,150.0,0.1,0.49751212936680445,0.19473058021017614,0.3045497010123565,5007.978796524214,271.6615541441225,672297,672297,219157,30.0,EPSG:32616,ok
27,Chicago,mild_cool,1,random_forest,C:\Users\golde\OneDrive - University of Virginia\STAT5630_FinalProject_DataProcessing\outputs\modeling\random_forest\frontier_allfolds_s5000_frontier-check_2026-04-11_173430,5000,full_city,6722963,6722963,broad,600.0,gaussian,300.0,0.1,0.5345277158150817,0.21552911822669005,0.3112290706710284,4979.6451787645465,362.49137920783716,672297,672297,238414,30.0,EPSG:32616,ok
28,Minneapolis,mild_cool,1,random_forest,C:\Users\golde\OneDrive - University of Virginia\STAT5630_FinalProject_DataProcessing\outputs\modeling\random_forest\frontier_allfolds_s5000_frontier-check_2026-04-11_173430,5000,full_city,2946162,2946162,fine,150.0,gaussian,75.0,0.1,0.03364529101328467,0.060857134626740986,0.11595352937295729,25781.456496158302,713.0918594402827,294617,294617,33802,30.0,EPSG:32615,ok
