city_id,city_name,climate_group,model_name,repeat_count,sample_rows_per_city_cap,effective_city_row_count,within_city_pr_auc_mean,within_city_pr_auc_std,within_city_recall_at_top_10pct_mean,within_city_recall_at_top_10pct_std,within_city_best_inner_cv_average_precision_mean
7,Salt Lake City,hot_arid,random_forest,3,20000,20000,0.4074621991872415,0.028188813777076747,0.42083333333333334,0.021842237370135256,0.386085886932307
2,Tucson,hot_arid,city_prevalence_baseline,3,20000,20000,0.10000000000000002,0.0,0.105,0.013228756555322957,
2,Tucson,hot_arid,logistic_saga,3,20000,20000,0.38896715019350186,0.01860362805523927,0.42583333333333334,0.024022558842332613,0.3765106015349373
2,Tucson,hot_arid,random_forest,3,20000,20000,0.5090324002063502,0.013000092280514153,0.5141666666666667,0.014648663192705812,0.502994812142637
18,Atlanta,hot_humid,city_prevalence_baseline,3,20000,20000,0.10000000000000002,0.0,0.105,0.013228756555322957,
18,Atlanta,hot_humid,logistic_saga,3,20000,20000,0.322272259496087,0.01180063949925716,0.3675,0.013228756555322964,0.3209910408386259
18,Atlanta,hot_humid,random_forest,3,20000,20000,0.3458899704861215,0.005452520324102169,0.4083333333333334,0.02240721609958125,0.34156259520427784
19,Charlotte,hot_humid,city_prevalence_baseline,3,20000,20000,0.10000000000000002,0.0,0.105,0.013228756555322957,
19,Charlotte,hot_humid,logistic_saga,3,20000,20000,0.15415407422021202,0.007944157004041198,0.16,0.01984313483298443,0.15036381270130614
19,Charlotte,hot_humid,random_forest,3,20000,20000,0.19838510316781166,0.018709991466025862,0.23416666666666666,0.016645820296198485,0.19133681364664068
12,Columbia,hot_humid,city_prevalence_baseline,3,20000,20000,0.10000000000000002,0.0,0.09500000000000001,0.017500000000000005,
12,Columbia,hot_humid,logistic_saga,3,20000,20000,0.23600666837911224,0.016822923272641482,0.26666666666666666,0.017017148213885117,0.2547599433826292
12,Columbia,hot_humid,random_forest,3,20000,20000,0.2941281997479486,0.006163498167731226,0.31,0.017500000000000026,0.2878781674907726
11,Houston,hot_humid,city_prevalence_baseline,3,20000,20000,0.10000000000000002,0.0,0.105,0.013228756555322957,
11,Houston,hot_humid,logistic_saga,3,20000,20000,0.13193694884121418,0.010215863229203669,0.1466666666666667,0.013768926368215249,0.13016224617936134
11,Houston,hot_humid,random_forest,3,20000,20000,0.2200701370374415,0.013038703957432554,0.26,0.018027756377319962,0.2145107690210947
17,Jacksonville,hot_humid,city_prevalence_baseline,3,20000,20000,0.10000000000000002,0.0,0.105,0.013228756555322957,
17,Jacksonville,hot_humid,logistic_saga,3,20000,20000,0.2954231102518788,0.012310447065864429,0.315,0.02645751311064593,0.2972183107615291
17,Jacksonville,hot_humid,random_forest,3,20000,20000,0.3113224660374548,0.0038046006522512187,0.31583333333333335,0.012332207155790606,0.32061784630870654
16,Miami,hot_humid,city_prevalence_baseline,3,20000,20000,0.10000000000000002,0.0,0.105,0.013228756555322957,
16,Miami,hot_humid,logistic_saga,3,20000,20000,0.1689732917830682,0.006486894700414387,0.2058333333333333,0.003818813079129861,0.16177506682700799
16,Miami,hot_humid,random_forest,3,20000,20000,0.20769651694406455,0.018793661403095546,0.24916666666666668,0.021554195260629284,0.20869204844537562
20,Nashville,hot_humid,city_prevalence_baseline,3,20000,20000,0.10000000000000002,0.0,0.105,0.013228756555322957,
20,Nashville,hot_humid,logistic_saga,3,20000,20000,0.5238668889692643,0.03180600950724277,0.5508333333333333,0.030034702151566832,0.5105633704856711
20,Nashville,hot_humid,random_forest,3,20000,20000,0.5712536946336644,0.038860510673562686,0.5616666666666666,0.03085584763595605,0.5591833812145571
14,New Orleans,hot_humid,city_prevalence_baseline,3,20000,20000,0.10000000000000002,0.0,0.105,0.013228756555322957,
14,New Orleans,hot_humid,logistic_saga,3,20000,20000,0.26171605754387645,0.01811021115767031,0.31583333333333335,0.017736497211493986,0.24990382127078947
14,New Orleans,hot_humid,random_forest,3,20000,20000,0.34116420237762407,0.030162175894800258,0.3775,0.04380353866983808,0.3373153165339837
